#{"t_start": 1667833079.959336, "env_id": "abc-asic-v0"}
r,l,t,nd,lev,seq
-0.007743,39,1038.71985,15632.326171875,1874.11865234375,&ifK3a_ifK3g; map_mst; rs -K 8 -l; rfz -l; map_mst; rs -K 8 -l; rf -l; rs -K 8; rf -l; rf; rs -K 8; dc2; rf -l; b -l; rfz; &ifK3a_ifK3g; rw -l; &ifK3a_ifK3g; rs -K 8; rs -K 8; rf -l; rs -K 8 -l; b; rf -l; rfz -l; rwz -l; dc2; ifraig; rw; rs -K 8 -l; rfz; rf; rs -K 8; rf; b -l; rf -l; rw -l; rw -l; dc2
0.156665,39,1068.373713,14759.859375,1661.0723876953125,b -l; b -l; rw -l; dc2; b; b; rs -K 8 -l; b -l; rfz; rf -l; rs -K 8; rf -l; rf -l; b -l; rf -l; rf -l; rfz; rf -l; rfz; rwz -l; dc2; &ifK3a_ifK3g; rwz; rfz; &ifK3a_ifK3g; rf; rf -l; rw -l; dc2; rf -l; rs -K 8; b; rf -l; b; rfz -l; ifraig; rfz; rs -K 8 -l; rwz
0.302606,39,1109.324349,14372.84765625,1410.607666015625,rs -K 8; rwz; rs -K 8; b; b; rf -l; rf -l; map_mst; dc2; b; rf -l; rf -l; rs -K 8; rwz; rfz; &ifK3a_ifK3g; rwz; rwz -l; rfz; rs -K 8 -l; rf -l; rs -K 8 -l; rf; rf -l; rf -l; rwz -l; b; rf; ifraig; rwz -l; ifraig; rwz; ifraig; rwz; rwz; rf -l; rs -K 8; b -l; rwz -l
0.290022,39,1148.8953,14253.408203125,1448.0950927734375,rf -l; dc2; rwz; rf; b -l; b; b; rf -l; ifraig; rs -K 8 -l; rf; rf -l; dc2; rf -l; rf -l; rw -l; rf -l; b -l; rw; rw; dc2; dc2; rf -l; rf -l; rfz; rf; rwz; ifraig; rf; rf -l; map_mst; b; ifraig; rfz; dc2; rs -K 8 -l; rf; rf -l; rf -l
0.279657,39,1178.51705,14622.923828125,1432.1085205078125,b -l; rf -l; rf -l; rw -l; rwz; dc2; rw -l; rf; rs -K 8; rfz -l; rfz -l; &ifK3a_ifK3g; rs -K 8 -l; rf -l; b; rfz; rwz; &ifK3a_ifK3g; b; rwz; rf -l; dc2; rwz; rfz -l; rs -K 8 -l; rf -l; rwz; rf -l; rfz; ifraig; b -l; rwz -l; rwz -l; rwz -l; b -l; rfz -l; ifraig; b; rfz
0.142344,39,1213.336034,14708.0703125,1695.2288818359375,ifraig; rf -l; rwz; rwz; rwz -l; rs -K 8; rf -l; rwz -l; rs -K 8; &ifK3a_ifK3g; dc2; rs -K 8; rf; b -l; rw; b; rwz; rs -K 8; rf; rf -l; b -l; b -l; rf; rf -l; b -l; dc2; &ifK3a_ifK3g; rf -l; rf -l; b; rs -K 8; rw; rfz; rs -K 8; rfz; rs -K 8; rf; rwz -l; b
0.235505,39,1244.961529,14697.5732421875,1512.1678466796875,b -l; b; rf -l; rwz; rs -K 8; rs -K 8; rf -l; &ifK3a_ifK3g; rs -K 8 -l; rwz; b -l; rwz; rw -l; ifraig; &ifK3a_ifK3g; rf -l; rfz; dc2; b -l; dc2; rwz; b -l; rwz; ifraig; rfz; rw -l; rwz; rw -l; rs -K 8 -l; rf -l; b; b; rw -l; rf; rwz -l; rs -K 8 -l; rf; rf -l; rf -l
0.18557,39,1295.134377,15215.455078125,1556.1082763671875,rs -K 8; rwz; rwz; &ifK3a_ifK3g; ifraig; rwz; rwz; rf -l; rw; rf -l; ifraig; &ifK3a_ifK3g; rwz; dc2; rwz; rwz; rf -l; b -l; rf -l; rs -K 8; b -l; rwz; ifraig; rwz -l; rwz; rfz; rf -l; ifraig; rfz -l; b; ifraig; rf; rs -K 8; rwz; rs -K 8; ifraig; rf -l; rf -l; rfz
0.252157,39,1342.718594,14323.625,1517.8485107421875,rf -l; b -l; rwz; dc2; b -l; rwz; rf -l; rfz; dc2; dc2; ifraig; rf -l; b; rwz; b; b; rfz; ifraig; dc2; b -l; rw; rwz; ifraig; rf -l; rfz -l; rwz; dc2; b -l; rf -l; rs -K 8; rf; rs -K 8; b -l; rwz -l; rwz -l; rs -K 8; ifraig; &ifK3a_ifK3g; dc2
0.146948,39,1377.945504,15501.4560546875,1599.82958984375,rs -K 8 -l; b -l; b -l; &ifK3a_ifK3g; &ifK3a_ifK3g; rwz; rwz; rf -l; rwz; rf -l; rwz; rf -l; rf -l; rf -l; rwz; rf -l; rf -l; rs -K 8; rf -l; &ifK3a_ifK3g; b; rw; rs -K 8; rf -l; rwz; rwz; rf -l; rf -l; rf -l; rs -K 8; rf; b; rfz; rwz; rwz; rfz; rwz -l; rs -K 8; dc2
0.245083,39,1413.574409,14690.1083984375,1493.97998046875,b -l; dc2; rf -l; rf; ifraig; &ifK3a_ifK3g; rf -l; dc2; rwz; rf -l; rs -K 8; rf -l; ifraig; rfz; rwz; rf -l; rwz -l; rs -K 8; rf -l; rfz -l; dc2; rf -l; rfz -l; dc2; dc2; b -l; rf -l; rf; b -l; rwz; rf; rf -l; rwz; rwz; rfz; rs -K 8; rw -l; rwz; rw -l
0.20292,39,1453.385093,14710.8701171875,1575.1942138671875,dc2; dc2; rfz; rwz; rfz; b -l; &ifK3a_ifK3g; dc2; rwz; rf; rf -l; rwz; rwz; rwz -l; rs -K 8; rs -K 8; b; rs -K 8 -l; rf; rs -K 8; rs -K 8; rs -K 8; rf -l; b; rfz; dc2; rwz; rwz; rwz; rf -l; rf -l; rf -l; rfz; ifraig; rwz; dc2; rs -K 8; b; rs -K 8
0.207543,39,1492.555981,14248.7421875,1616.8509521484375,b; dc2; rw; &ifK3a_ifK3g; map_mst; &ifK3a_ifK3g; rf -l; ifraig; rwz; rwz; ifraig; rwz; rwz -l; rf -l; b -l; rfz -l; rwz -l; rs -K 8 -l; rf; rs -K 8; rwz; rf -l; rf -l; rwz; rs -K 8; rs -K 8; rw; rw; ifraig; dc2; rf -l; rfz; b -l; rwz -l; rwz -l; dc2; ifraig; rfz -l; dc2
